priority;name;url;cluster;platform_focus;members;online;evidence_chat;ad_contact;ad_rules;fit_score;outreach_angle;status;source_url;notes
P0;Поставщики Wildberries;https://t.me/wildberries_marketplace_help;WB селлеры;Wildberries;97326;9701;Telegram preview shows members and online, chat for WB suppliers;@svetlanaw_b;ads require approval, spam/jobs/warehouse pools banned;5;мини-аудит карточки и 3 бесплатные генерации для WB-продавцов;write_admin_first;https://t.me/wildberries_marketplace_help;крупный живой чат, высокий приоритет
P0;Wildberries Help | Чат поставщиков;https://t.me/wildberries_supply;WB селлеры;Wildberries;76700;11869;Telegram preview, mutual help chat for suppliers;@mishpopov;rules visible, ads only via admin;5;согласованный пост для селлеров WB, карточка без копирайтера;write_admin_first;https://t.me/wildberries_supply;один из самых крупных активных чатов
P0;Wildberries | Чат поставщиков;https://t.me/wb_supply;WB селлеры;Wildberries;71913;9504;Telegram preview shows members and online;@manager_reklamaWB;unapproved ads, spam and flood banned;5;как быстро собрать SEO-карточку для WB;write_admin_first;https://t.me/wb_supply;сильный охват, только через админа
P0;Поставщики Wildberries;https://t.me/tiwildberries;WB селлеры;Wildberries;62547;7186;Telegram preview, mutual help chat;@tiniwia, @romchet;ads via admins;5;демо сырой товар -> название, описание, ключи, характеристики;write_admin_first;https://t.me/tiwildberries;дубль названия с другим URL, оставить как отдельный чат
P0;Чат поставщиков Wildberries;https://t.me/chatwbplace;WB селлеры;Wildberries;54428;4984;Telegram preview, supplier help chat;@antoha_marketplace;rules visible;5;боль карточки не индексируются и не продают;write_admin_first;https://t.me/chatwbplace;хороший fit под SEO-карточки
P0;OZON Поставщики;https://t.me/ozonchathelps;Ozon селлеры;Ozon;49656;7485;Telegram preview says seller chat and shows online;@reklama_mplace;unapproved ads, flood and insults banned;5;3 бесплатные генерации карточки Ozon;write_admin_first;https://t.me/ozonchathelps;главный Ozon-кандидат
P0;Wildberries чат поставщики, селлеры;https://t.me/wildberrieschatt;WB селлеры;Wildberries;45271;6042;Telegram preview shows members and online;@maretill;rules at https://t.me/wildberrieschatt/11239;5;разбор типовых ошибок SEO-карточек WB;write_admin_first;https://t.me/wildberrieschatt;есть явные правила рекламы
P0;Карточки товара Wildberries;https://t.me/contentwbchat;карточки и медиаконтент;Wildberries;41327;7778;Telegram preview says chat for card creation and editing requests;not found;not found;5;ускорить SEO и медиаконтент карточки;verify_admin;https://t.me/contentwbchat;самый прямой тематический fit
P0;Дизайнеры Wildberries | Инфографика;https://t.me/designers_wb_ozon;инфографика и карточки;Wildberries/Ozon;40143;2626;Telegram preview, chat for designers and customers;@foxxlikebot, @re_tail;admin-managed ads likely;5;ИИ-черновик карточки плюс дизайнер доводит визуал;write_admin_first;https://t.me/designers_wb_ozon;сильный смежный кластер
P0;Маркетплейсы | Чат поставщиков;https://t.me/marketplace_network;общие маркетплейсы;WB/Ozon/СНГ;38447;3204;Telegram preview says seller chat for largest CIS marketplaces;@mikhail_market;unapproved ads and flood banned;4;универсальная карточка WB/Ozon без копирайтера;write_admin_first;https://t.me/marketplace_network;широкий охват, не только карточки
